name,ab,url,strat,org,sector,type,region,country,city,submitted, 
"""No Plastic Foam for Food"" Policy",No Plastic Foam for Food used Policy on campus of King Mongkut's University of Technology Thonburi (KMUTT),http://sustainable.kmutt.ac.th/sustainability/?q=content/no-plastic-foam-food-used-policy,"DESIGN: e.g.: design for disassembly, redesign of supply chains, c2c, …",King Mongkut's University of Technology Thonburi (KMUTT),"CITIES: buildings, infrastructure, mobility, logistics, energy, water, waste management",Education,Asia & Oz,Thailand,Bangkok,CEC Bangkok Mapping Organizer: Chris Oestereich,https://www.circulareconomyclub.com/cec-bangkok-chris-oestereich/
Reuse and recycling campaign in universities,"KMUTT is committed to develop waste management system and encourage students and staffs to reduce, reuse, recycle and enable proper management on treatment and disposal. Both municipal solid waste and hazardous waste are managed according to the waste hierarchy of reduction, reuse, and recycle, treatment and responsible disposal.",http://sustainable.kmutt.ac.th/sustainability/?q=content/kmutt-waste-management-policy,"PRODUCT LIFE EXTENSION: e.g.: reuse, share, redistribute, donate, repair, remanufacture, …",King Mongkut's University of Technology Thonburi,"CITIES: buildings, infrastructure, mobility, logistics, energy, water, waste management",Education,Asia & Oz,Thailand,Bangkok,CEC Bangkok Mapping Organizer: Chris Oestereich,https://www.circulareconomyclub.com/cec-bangkok-chris-oestereich/
Oxygen added to shower water to save 50% ,"Under the project name ""Your handle saves energy"" sinum, together with interested municipalities, utilities and companies, is taking action to save hot water. The aim of the promotion action is the reduced delivery of modern money-boxes to households. The hot water consumption can be reduced by up to 50% . ",http://www.sinum.com,"BUSINESS MODELS: e.g.: product as a service, rent, re-sell, lease, ...",Sinum AG,"MANUFACTURING: Equipment, furniture, paper, plastics, chemicals, metal, mining, etc.",- SME,Europe,Switzerland,,CEC Bern Mapping Organizer: Keith Riggs,https://www.circulareconomyclub.com/bern-mapping-session-keith-riggs/
Paperless campaign,Paper and foam usage reduction Policy,http://sustainable.kmutt.ac.th/sustainability/?q=content/paper-and-foam-usage-reduction-policy,"DESIGN: e.g.: design for disassembly, redesign of supply chains, c2c, …",king mongkut's university technology thonburi,"CITIES: buildings, infrastructure, mobility, logistics, energy, water, waste management",Education,Asia & Oz,Thailand,Bangkok,CEC Bangkok Mapping Organizer: Chris Oestereich,https://www.circulareconomyclub.com/cec-bangkok-chris-oestereich/
Incentives from government to green building,"Thai government is providing incentives for real estate development in terms of green building initiative. In addition, the Thai government is extending the BTS and MRT line to connect more areas within the city. Sanitation guidelines are required for waste collectors. Smart cooling technology being adopted in suvarnabhumi airport to reduce the energy intake. Bike sharing technology being implemented in university areas and around bangkok.",https://www.thailand-business-news.com/environment/55343-thailands-green-material-industry-green-building-trend.html,"DESIGN: e.g.: design for disassembly, redesign of supply chains, c2c, …","Thai Central Government, Bangkok Administration, Airport's Authority of Thailand ","CITIES: buildings, infrastructure, mobility, logistics, energy, water, waste management",Government,Asia & Oz,Thailand,Bangkok,CEC Bangkok Mapping Organizer: Chris Oestereich,https://www.circulareconomyclub.com/cec-bangkok-chris-oestereich/
Reutilizing materials waste from food center,"102,450 kg of Materials waste from food center, workshop and Building and Ground department is 25,758 kg which reused as teaching materials /research raw materials/maintenance & repairing activities. The remain 76,692 kg is organic waste which reused for teaching and research materials for pilot plant production. The Reuse program in our campuses help to reduce MSW more than 20 % each year.",http://sustainable.kmutt.ac.th/sustainability/?q=content/inorganic-waste-treatment-rubbish,"PRODUCT LIFE EXTENSION: e.g.: reuse, share, redistribute, donate, repair, remanufacture, …",king mongkut's university technology thonburi,"CITIES: buildings, infrastructure, mobility, logistics, energy, water, waste management",Education,Asia & Oz,Thailand,Bangkok,CEC Bangkok Mapping Organizer: Chris Oestereich,https://www.circulareconomyclub.com/cec-bangkok-chris-oestereich/
Methodology to cut on food waste,"A certification program that helps hotels reduce their food waste. The PLEDGE™ is an independently verified nine point food waste prevention standard, that is designed to cut on food waste, save on food costs and showcase your efforts.",http://thepledgeonfoodwaste.org/,"DESIGN: e.g.: design for disassembly, redesign of supply chains, c2c, …",The Pledge on Food Waste,"CITIES: buildings, infrastructure, mobility, logistics, energy, water, waste management","Support (investment, consulting, media, etc)",Asia & Oz,Thailand,Bangkok,CEC Bangkok Mapping Organizer: Chris Oestereich,https://www.circulareconomyclub.com/cec-bangkok-chris-oestereich/
Promoting cooperating among global supply chains between Europe and Asia,"The European Union (EU)  made the issue of ""sustainable consumption and production"" (SCP) a priority in its  2007 - 2013 regional cooperation strategy and in 2008 the European Commission launched the SWITCH-Asia programme to help interested consumers, businesses and supporting associations switch to a more sustainable paradigm.",http://www.switch-asia.eu/programme/,"DESIGN: e.g.: design for disassembly, redesign of supply chains, c2c, …",European Commission ,"CITIES: buildings, infrastructure, mobility, logistics, energy, water, waste management",Government,Asia & Oz,Over Asia & Oz,Asia,CEC Bangkok Mapping Organizer: Chris Oestereich,https://www.circulareconomyclub.com/cec-bangkok-chris-oestereich/
Advising on moving from linear supply chains to circular,A  consultancy that helps firms design and implement zero waste programs.,lineartocircular.com,"DESIGN: e.g.: design for disassembly, redesign of supply chains, c2c, …",Linear to Circular,"CITIES: buildings, infrastructure, mobility, logistics, energy, water, waste management",- Private sector (undefined),Asia & Oz,Thailand,Bangkok,CEC Bangkok Mapping Organizer: Chris Oestereich,https://www.circulareconomyclub.com/cec-bangkok-chris-oestereich/
Training students for the circular economy,A social enterprise within Thammasat University's School of Global Studies that provides training and implements circular economy programs .,sgs.tu.ac.th,OTHER,Z Lab,"CITIES: buildings, infrastructure, mobility, logistics, energy, water, waste management","Support (investment, consulting, media, etc)",Asia & Oz,Thailand,Bangkok,CEC Bangkok Mapping Organizer: Chris Oestereich,https://www.circulareconomyclub.com/cec-bangkok-chris-oestereich/
Universities diminishing energy consumption ,Consolidation of chilled-water plants (for building air conditioning). Building metering. Lighting with motion sensors in common spaces,http://www.nus.edu.sg/oes/Energy.html,"DESIGN: e.g.: design for disassembly, redesign of supply chains, c2c, …",National University of Singapore,"CITIES: buildings, infrastructure, mobility, logistics, energy, water, waste management",Education,Asia & Oz,Singapore,Singapore,CEC Bangkok Mapping Organizer: Chris Oestereich,https://www.circulareconomyclub.com/cec-bangkok-chris-oestereich/
Reducing the number of air-conditioning cooling towers,"The Water Management Task Force has implemented numerous water conservation measures throughout campus, including:. Reducing the number of air-conditioning cooling towers. Use of water-efficiency labelled fittings or thimbles in tap fittings. Replacement of full-flush cisterns with dual-flush low capacity ones. Irrigation of plants using collected rainwater",http://www.nus.edu.sg/oes/Water.html,"DESIGN: e.g.: design for disassembly, redesign of supply chains, c2c, …",National University of Singapore,"CITIES: buildings, infrastructure, mobility, logistics, energy, water, waste management",Education,Asia & Oz,Singapore,Singapore,CEC Bangkok Mapping Organizer: Chris Oestereich,https://www.circulareconomyclub.com/cec-bangkok-chris-oestereich/
Encouraging clothes and pens reutilization in-campus,"Waste management:paper,e-waste,ink,glass,clothes",http://www.nus.edu.sg/oes/Waste.html,"PRODUCT LIFE EXTENSION: e.g.: reuse, share, redistribute, donate, repair, remanufacture, …",National University of Singapore,"CITIES: buildings, infrastructure, mobility, logistics, energy, water, waste management",Education,Asia & Oz,Singapore,Singapore,CEC Bangkok Mapping Organizer: Chris Oestereich,https://www.circulareconomyclub.com/cec-bangkok-chris-oestereich/
Bicycle platform in-campus,"The way we travel has an impact on the environment and there are many ways that we can lower our carbon footprint as part of our daily commute. We encourage staff and students to choose more sustainable forms of travelling to and within campus (e.g. walk, cycle, shuttle bus)",http://www.nus.edu.sg/oes/Transport.html,"PRODUCT LIFE EXTENSION: e.g.: reuse, share, redistribute, donate, repair, remanufacture, …",National University of Singapore,"CITIES: buildings, infrastructure, mobility, logistics, energy, water, waste management",Education,Asia & Oz,Singapore,Singapore,CEC Bangkok Mapping Organizer: Chris Oestereich,https://www.circulareconomyclub.com/cec-bangkok-chris-oestereich/
Students selling second-hand items,"It is a initiative based in AIT campus, where students sell second-hand articles (from electronic devices to bikes and kitchen utensils) through a facebook page named: Junk to Jade, extending the life of a product and avoiding waste generation.",https://www.facebook.com/groups/ait.jj/,"PRODUCT LIFE EXTENSION: e.g.: reuse, share, redistribute, donate, repair, remanufacture, …",Asian Institute of Technology,"CONSUMER PRODUCTS & ELECTRONICS: mobile phones, computers, hygiene products, toys, etc",Education,Asia & Oz,Thailand,Pathum Thani,CEC Bangkok Mapping Organizer: Chris Oestereich,https://www.circulareconomyclub.com/cec-bangkok-chris-oestereich/
Creating a bicycle platform in-campus from used bikes and metal left-overs,"Metal Pipes, Bicycles and classroom furniture are segregated and added to the recycle program. Metal pipes are reused and recycled as Bike Parking and presentation board during exhibitions. Bicycles are reused and recycled in Bike repairing center and repair to use in KMUTT Bike Share system as ZomBike. Classroom furniture is reused & recycled after repairing process by Building & Ground Department in our university. ",http://sustainable.kmutt.ac.th/sustainability/?q=content/inorganic-waste-recycle,"WASTE AS A RESOURCE: e.g.: recycling, compost, energy from waste, …",king mongkut's university technology thonburi,"CONSUMER PRODUCTS & ELECTRONICS: mobile phones, computers, hygiene products, toys, etc",Education,Asia & Oz,Thailand,Bangkok,CEC Bangkok Mapping Organizer: Chris Oestereich,https://www.circulareconomyclub.com/cec-bangkok-chris-oestereich/
Engineer using old cell phones to stop illegal logging,Old cell phones are placed in rainforests to signal authorities every time there is illegal timber logging. ,https://rfcx.org/,"WASTE AS A RESOURCE: e.g.: recycling, compost, energy from waste, …",Rainforest Connection,"CONSUMER PRODUCTS & ELECTRONICS: mobile phones, computers, hygiene products, toys, etc",- Private sector (undefined),North America,United States,San Francisco,CEC Bangkok Mapping Organizer: Chris Oestereich,https://www.circulareconomyclub.com/cec-bangkok-chris-oestereich/
"Dropping old mobile phones, batteries and accessories to designated boxes for their remanufacturing ","Dropping old mobile phones, batteries and accessories to designated boxes for their remanufacturing ",https://www.bangkokpost.com/tech/local-news/1149705/dispose-of-old-phones-with-dtacs-help,"PRODUCT LIFE EXTENSION: e.g.: reuse, share, redistribute, donate, repair, remanufacture, …",DTAC,"CONSUMER PRODUCTS & ELECTRONICS: mobile phones, computers, hygiene products, toys, etc",- Private sector (undefined),Asia & Oz,Thailand,Bangkok,CEC Bangkok Mapping Organizer: Chris Oestereich,https://www.circulareconomyclub.com/cec-bangkok-chris-oestereich/
"Network of shops to donate, share, buy and sell","Thrift shops, second hand clothing business",http://peopletreeonline.com/home.html,"PRODUCT LIFE EXTENSION: e.g.: reuse, share, redistribute, donate, repair, remanufacture, …",People Tree,FASHION and other textiles,- Private sector (undefined),Asia & Oz,Over Asia & Oz,Asia,CEC Bangkok Mapping Organizer: Chris Oestereich,https://www.circulareconomyclub.com/cec-bangkok-chris-oestereich/
Used vegetable oil used for biodiesel production,Used vegetable oil has been used for biodiesel production. Using food wastes from food center and canteen for Biogas production in our campus with 300 kg of food waste/day. These waste utilization activities help to reduce around 20 %of MSW and make high benefits for waste to energy and waste to organic farm in our campus. ,http://sustainable.kmutt.ac.th/sustainability/?q=content/waste-utilization-program-kmutt,"WASTE AS A RESOURCE: e.g.: recycling, compost, energy from waste, …",King Mongkut's University Technology Thonburi,FOOD & BEVERAGES including agriculture and restaurants,Education,Asia & Oz,Thailand,Bangkok,CEC Bangkok Mapping Organizer: Chris Oestereich,https://www.circulareconomyclub.com/cec-bangkok-chris-oestereich/
Collection of surplus to donate to slums,Collection of surplus food from hotels and restaurants and distributing it in the slums of Bangkok.,https://thaispasnow.wordpress.com/2014/10/22/shama-sukhumvit-bangkoks-food-without-boundaries-donation/,"WASTE AS A RESOURCE: e.g.: recycling, compost, energy from waste, …",Shama Sukhumvit Bangkok,FOOD & BEVERAGES including agriculture and restaurants,Non-profit,Asia & Oz,Thailand,"Klong Toey, Bangkok",CEC Bangkok Mapping Organizer: Chris Oestereich,https://www.circulareconomyclub.com/cec-bangkok-chris-oestereich/
Policies: banning plastics bags,Ban of plastic bags in Bangladesh,http://www.bbc.com/news/uk-24090603,OTHER,The government from Bangladesh,"CITIES: buildings, infrastructure, mobility, logistics, energy, water, waste management",Government,Asia & Oz,Thailand,Bangladesh,CEC Bangkok Mapping Organizer: Chris Oestereich,https://www.circulareconomyclub.com/cec-bangkok-chris-oestereich/
Industrial park where one´s industries waste is others input,"Industrial symbiosis in Taijin, where one´s industries waste is others input. ",http://hkmb.hktdc.com/en/1X09WMES/hktdc-research/Tianjin-Economic-Technological-Development-Area-TEDA-including-Tianjin-Nangang-Industrial-Zone,"DESIGN: e.g.: design for disassembly, redesign of supply chains, c2c, …",Tianjin Economic - Technological Development Area (TEDA),"MANUFACTURING: Equipment, furniture, paper, plastics, chemicals, metal, mining, etc.",- Private sector (undefined),Asia & Oz,China,Tainjin,CEC Bangkok Mapping Organizer: Chris Oestereich,https://www.circulareconomyclub.com/cec-bangkok-chris-oestereich/
Online tool for real-time energetic and life cycle assessment of buildings,"CAALA belongs in the toolbox of every architect and planner. From the first comparison of building materials and components, to a holistic energetic examination of a 3D model, the plugin offers all the relevant components for energetic pre-dimensioning",https://caala.de,"DESIGN: e.g.: design for disassembly, redesign of supply chains, c2c, …",CAALA,"CITIES: buildings, infrastructure, mobility, logistics, energy, water, waste management",- Private sector (undefined),Europe,Germany,Berlin,CEC Berlin Mapping Organizer: Dina Padalkina,https://www.circulareconomyclub.com/cec-berlin-dina-padalkina/
Bio-tech filter to quantifiably improve air quality,"Vertically installed moss culture with Internet-of-Things (IoT) technology which includes specific plants that eat particulate matter (PM) and nitrogen dioxide. The construction contains sensors collecting environmental and climatic data, to regulate and control the unit and ensure that the plants survive. Thanks to solar panels and rain water retention systems, the unit requires only a few hours of maintenance per year. ",https://greencitysolutions.de/en/,"DESIGN: e.g.: design for disassembly, redesign of supply chains, c2c, …",Green City Solution,"CITIES: buildings, infrastructure, mobility, logistics, energy, water, waste management",- Private sector (undefined),Europe,Germany,Berlin,CEC Berlin Mapping Organizer: Dina Padalkina,https://www.circulareconomyclub.com/cec-berlin-dina-padalkina/
Modular design in construction,Fegeneration of Potsdamer Platz and landmark developments such as the Sony Center and the GSW Hochhaus. One of their recent and particularly innovative projects is Germany's first student residence with a modular design. ,https://www.arup.com/offices/germany,"DESIGN: e.g.: design for disassembly, redesign of supply chains, c2c, …",ARUP,"CITIES: buildings, infrastructure, mobility, logistics, energy, water, waste management",- Private sector (undefined),Global,Global,Berlin,CEC Berlin Mapping Organizer: Dina Padalkina,https://www.circulareconomyclub.com/cec-berlin-dina-padalkina/
Construction tool that allows energy performance of different building geometries,"ECOGLOBE helps real-estate developers, architects and engineers make their projects sustainable and cost-effective. With expertise covering architecture, renewable energies, sustainable water management as well as advanced building simulation, we bundle all the resources required for engineering high performance real-estate projects.",www.ecoglobe.de,"DESIGN: e.g.: design for disassembly, redesign of supply chains, c2c, …",ECOGLOBE,"CITIES: buildings, infrastructure, mobility, logistics, energy, water, waste management",- Private sector (undefined),Europe,Germany,Berlin,CEC Berlin Mapping Organizer: Dina Padalkina,https://www.circulareconomyclub.com/cec-berlin-dina-padalkina/
Network of biomimicry specialists,"German network of a global Biomimicry community, spearheading Biomimicry. The innovation method Biomimicry is based on nature's 3.8 billion years of evolutionary designs. Our mission is to catalyze and facilitate the design process, foster economic creativity, and ultimately improve the dialogue between mankind and nature through research, outreach, and education",www.biomimicrygermany.com,"DESIGN: e.g.: design for disassembly, redesign of supply chains, c2c, …",Biomimicry Germany,"CITIES: buildings, infrastructure, mobility, logistics, energy, water, waste management","Support (investment, consulting, media, etc)",Europe,Germany,Berlin ,CEC Berlin Mapping Organizer: Dina Padalkina,https://www.circulareconomyclub.com/cec-berlin-dina-padalkina/
